,0,1,2,3
0,Dep. Variable:,Trade_Price,  R-squared:         ,  -5.217
1,Model:,OLS,  Adj. R-squared:    ,  -5.232
2,Method:,Least Squares,  F-statistic:       ,  -333.6
3,Date:,"Thu, 11 Jan 2024",  Prob (F-statistic):,  1.00
4,Time:,18:25:54,  Log-Likelihood:    ,  21923.
5,No. Observations:,   798,  AIC:               ,-4.384e+04
6,Df Residuals:,   795,  BIC:               ,-4.383e+04
7,Df Model:,     2,                     , 
8,Covariance Type:,nonrobust,                     , 
